States,Date,Frequency,Estimated Unemployment Rate,Estimated Employed,Estimated Labour Participation Rate,Region,Longitude,Latitude
Andhra Pradesh,01-01-2020,Monthly,8.93,7454271,53.19,South,83.023,16.9357
Telangana,01-01-2020,Monthly,16.23,7550699,35.79,South,76.1165,14.932
Karnataka,01-01-2020,Monthly,5.2,1234197,38.4,South,73.1533,27.1957
Tamil Nadu,01-01-2020,Monthly,12.8,1415415,55.93,South,73.6724,18.0056
Kerala,01-01-2020,Monthly,15.24,6346634,40.34,South,81.8733,16.6585
Maharashtra,01-01-2020,Monthly,13.46,6510034,58.54,West,74.7442,28.9677
Delhi,01-01-2020,Monthly,17.56,2492366,38.09,North,83.4316,11.3854
Gujarat,01-01-2020,Monthly,8.58,1038217,50.87,West,79.1825,26.7126
Andhra Pradesh,31-01-2020,Monthly,17.44,5292352,35.22,South,72.0626,13.1956
Telangana,31-01-2020,Monthly,14.01,7483489,58.94,South,81.0061,18.4522
Karnataka,31-01-2020,Monthly,17.79,6846968,38.62,South,72.5899,19.9158
Tamil Nadu,31-01-2020,Monthly,8.95,2315338,46.75,South,80.454,15.0708
Kerala,31-01-2020,Monthly,9.18,6876162,47.08,South,82.3831,10.6888
Maharashtra,31-01-2020,Monthly,17.86,4323090,53.47,West,82.5655,19.0403
Delhi,31-01-2020,Monthly,5.28,2947477,55.2,North,76.3151,20.8557
Gujarat,31-01-2020,Monthly,7.73,2233720,46.84,West,79.8488,19.928
Andhra Pradesh,01-03-2020,Monthly,14.22,1701708,54.3,South,82.3883,28.7781
Telangana,01-03-2020,Monthly,8.39,3441205,54.11,South,78.27,22.9236
Karnataka,01-03-2020,Monthly,13.75,1063302,43.27,South,78.3236,12.9043
Tamil Nadu,01-03-2020,Monthly,14.75,2351961,54.7,South,77.6183,14.176
Kerala,01-03-2020,Monthly,15.84,6051748,39.73,South,77.6799,22.7356
Maharashtra,01-03-2020,Monthly,16.64,4337272,41.07,West,76.2696,23.8047
Delhi,01-03-2020,Monthly,12.63,1976039,49.62,North,75.7588,28.2977
Gujarat,01-03-2020,Monthly,4.79,3236809,35.17,West,79.219,10.548
Andhra Pradesh,31-03-2020,Monthly,8.57,6471249,48.64,South,84.6821,22.8864
Telangana,31-03-2020,Monthly,8.4,1556132,54.35,South,73.4553,19.9608
Karnataka,31-03-2020,Monthly,15.63,2797409,41.88,South,72.1759,23.8565
Tamil Nadu,31-03-2020,Monthly,5.33,4601715,41.85,South,76.6732,20.9297
Kerala,31-03-2020,Monthly,5.92,7401317,40.35,South,75.9709,27.6666
Maharashtra,31-03-2020,Monthly,12.38,5568572,54.14,West,80.768,16.619
Delhi,31-03-2020,Monthly,13.38,2153603,43.81,North,74.3327,20.1177
Gujarat,31-03-2020,Monthly,12.41,4360800,35.03,West,74.9532,18.2904
Andhra Pradesh,30-04-2020,Monthly,13.98,3073554,44.19,South,84.3109,18.0804
Telangana,30-04-2020,Monthly,5.64,7554955,47.77,South,84.1025,13.7323
Karnataka,30-04-2020,Monthly,11.45,6187710,36.6,South,76.1249,25.7503
Tamil Nadu,30-04-2020,Monthly,13.57,1952267,39.37,South,84.6421,22.5575
Kerala,30-04-2020,Monthly,11.85,5325474,57.94,South,75.3638,17.1144
Maharashtra,30-04-2020,Monthly,8.97,7296030,42.83,West,79.7201,19.1343
Delhi,30-04-2020,Monthly,11.31,2027751,50.88,North,72.7738,24.2811
Gujarat,30-04-2020,Monthly,10.05,2889570,56.46,West,74.5968,11.0076
Andhra Pradesh,30-05-2020,Monthly,6.52,4144312,37.07,South,77.95,10.3354
Telangana,30-05-2020,Monthly,4.59,2491066,38.35,South,84.8803,16.054
Karnataka,30-05-2020,Monthly,16.73,4574666,38.18,South,74.709,22.9153
Tamil Nadu,30-05-2020,Monthly,17.62,4161350,49.4,South,77.414,17.7037
Kerala,30-05-2020,Monthly,6.48,3226388,49.87,South,84.2644,25.194
Maharashtra,30-05-2020,Monthly,7.27,5526634,57.54,West,79.5972,17.6079
Delhi,30-05-2020,Monthly,17.74,4672228,37.25,North,77.6215,12.1732
Gujarat,30-05-2020,Monthly,6.71,7716498,51.18,West,80.5206,17.1977
Andhra Pradesh,29-06-2020,Monthly,7.23,1723857,41.55,South,81.8676,22.966
Telangana,29-06-2020,Monthly,12.72,3709451,43.05,South,83.3224,20.1211
Karnataka,29-06-2020,Monthly,10.74,7938106,51.71,South,79.0135,19.965
Tamil Nadu,29-06-2020,Monthly,12.51,3341300,43.31,South,80.5601,14.0367
Kerala,29-06-2020,Monthly,17.09,7234411,53.01,South,82.6151,18.1629
Maharashtra,29-06-2020,Monthly,12.67,5255264,38.14,West,77.7942,27.0006
Delhi,29-06-2020,Monthly,11.11,4863061,43.32,North,79.5411,21.8028
Gujarat,29-06-2020,Monthly,4.93,6727962,50.61,West,81.3652,15.1728
Andhra Pradesh,29-07-2020,Monthly,15.85,5557534,55.16,South,83.2279,28.4355
Telangana,29-07-2020,Monthly,17.77,7711711,51.99,South,83.8883,18.2567
Karnataka,29-07-2020,Monthly,14.53,3390847,37.79,South,82.3391,25.8613
Tamil Nadu,29-07-2020,Monthly,14.54,5285752,52.82,South,81.637,11.0733
Kerala,29-07-2020,Monthly,9.62,4536065,55.07,South,83.821,26.8621
Maharashtra,29-07-2020,Monthly,7.5,3439271,54.16,West,74.9557,19.3154
Delhi,29-07-2020,Monthly,6.07,4334823,39.02,North,79.1148,14.5326
Gujarat,29-07-2020,Monthly,12.84,2015898,44.92,West,81.8216,26.8712
Andhra Pradesh,28-08-2020,Monthly,5.04,6443771,51.19,South,79.4785,14.6582
Telangana,28-08-2020,Monthly,11.34,2810539,49.32,South,74.7259,16.4607
Karnataka,28-08-2020,Monthly,11.7,7716711,54.49,South,80.0794,12.5318
Tamil Nadu,28-08-2020,Monthly,9.06,5281519,37.02,South,72.2472,12.8438
Kerala,28-08-2020,Monthly,9.06,1466217,37.32,South,79.0112,18.3307
Maharashtra,28-08-2020,Monthly,17.13,1408007,52.41,West,84.6747,17.4846
Delhi,28-08-2020,Monthly,9.6,6972992,44.15,North,80.2464,24.4266
Gujarat,28-08-2020,Monthly,17.24,3372821,45.26,West,74.0396,10.9354
Andhra Pradesh,27-09-2020,Monthly,9.85,2247234,58.98,South,82.2077,17.6721
Telangana,27-09-2020,Monthly,14.42,5582919,45.52,South,81.6652,25.2318
Karnataka,27-09-2020,Monthly,8.73,5389485,58.63,South,75.3077,17.4122
Tamil Nadu,27-09-2020,Monthly,6.41,6461617,52.27,South,82.3748,11.345
Kerala,27-09-2020,Monthly,11.43,6963426,48.19,South,79.8092,17.8535
Maharashtra,27-09-2020,Monthly,17.52,7566334,40.89,West,72.749,20.6958
Delhi,27-09-2020,Monthly,9.31,4096072,47.99,North,81.5685,24.5109
Gujarat,27-09-2020,Monthly,4.41,1193710,41.7,West,75.6518,28.3585
Andhra Pradesh,27-10-2020,Monthly,8.41,4678967,49.87,South,81.4893,25.8688
Telangana,27-10-2020,Monthly,9.5,1905615,55.08,South,83.0022,12.7495
Karnataka,27-10-2020,Monthly,6.21,5320935,58.37,South,76.3009,28.6378
Tamil Nadu,27-10-2020,Monthly,16.5,7164689,59.76,South,76.3712,13.9262
Kerala,27-10-2020,Monthly,13.43,4800951,45.37,South,74.1668,12.7879
Maharashtra,27-10-2020,Monthly,6.2,1592989,59.98,West,78.1368,23.9278
Delhi,27-10-2020,Monthly,12.33,2019769,54.87,North,75.9448,23.3837
Gujarat,27-10-2020,Monthly,8.85,6077126,39.3,West,72.7336,20.7345
Andhra Pradesh,26-11-2020,Monthly,7.88,4169029,36.03,South,76.2334,10.6216
Telangana,26-11-2020,Monthly,7.95,4386319,47.61,South,79.303,22.8289
Karnataka,26-11-2020,Monthly,11.07,1399906,35.5,South,78.4553,21.1065
Tamil Nadu,26-11-2020,Monthly,14.59,4580530,59.46,South,75.2983,25.7827
Kerala,26-11-2020,Monthly,4.65,6659139,51.03,South,74.1174,14.1087
Maharashtra,26-11-2020,Monthly,17.29,5139198,58.43,West,81.5479,24.8999
Delhi,26-11-2020,Monthly,8.13,1426892,47.62,North,77.4491,27.1395
Gujarat,26-11-2020,Monthly,16.02,7462096,51.35,West,77.4826,19.3941
